Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Georges Home,Dilithium3,973.221,45.316552378,-75.757147496,7.744,210.296,2021-07-29 19:40:36.988114
Ottawa Edge,Dilithium3,994.261,45.316358354,-75.75725028,3.209,227.53,2021-07-29 19:34:35.022732
Georges Home,Dilithium3,999.905,45.317054476,-75.757900202,3.735,139.645,2021-07-29 19:32:39.079284
Toronto Edge,Dilithium3,999.58,45.316719993,-75.757094344,3.468,195.11,2021-07-29 19:34:48.183478
Ottawa Edge,Dilithium3,982.406,45.315447445,-75.758497,3.022,317.137,2021-07-29 19:37:19.486997
Toronto Edge,Dilithium3,992.053,45.315365761,-75.758410662,3.223,325.775,2021-07-29 19:37:24.005670
Ottawa Edge,Dilithium3,967.924,45.316123605,-75.758268726,7.192,241.188,2021-07-29 19:41:34.515332
Toronto Edge,Dilithium3,982.17,45.318034513,-75.757321522,3.432,74.541,2021-07-29 19:39:19.312865
Georges Home,Dilithium3,994.363,45.316240976,-75.757294017,3.468,238.856,2021-07-29 19:34:30.293201
Georges Home,Dilithium3,9.666,45.317264302,-75.757822141,3.911,118.1,2021-07-29 19:32:33.138809
Toronto Edge,Dilithium3,981.865,45.31797688,-75.757532045,0.0,62.989,2021-07-29 19:39:28.708929
Georges Home,Dilithium3,988.325,45.315744709,-75.757459742,3.633,289.1,2021-07-29 19:37:56.138031
Toronto Edge,Dilithium3,963.667,45.315337148,-75.758231335,8.676,328.541,2021-07-29 19:43:12.580048
Ottawa Edge,Dilithium3,978.214,45.317692001,-75.756701074,3.475,135.102,2021-07-29 19:38:57.250936
Ottawa Edge,Dilithium3,987.731,45.316998416,-75.757922165,3.188,145.524,2021-07-29 19:36:25.432342
Toronto Edge,Dilithium3,2.324,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:03.973230
Georges Home,Dilithium3,994.249,45.315398813,-75.758469329,2.854,322.377,2021-07-29 19:37:21.711207
Ottawa Edge,Dilithium3,9.261,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:06.288183
Georges Home,Dilithium3,998.573,45.317436671,-75.75775663,3.468,101.306,2021-07-29 19:36:10.691536
Georges Home,Dilithium3,974.915,45.316840401,-75.758003174,8.798,162.188,2021-07-29 19:39:47.987615
Georges Home,Dilithium3,52.73,45.31748653,-75.757737804,3.911,96.66,2021-07-29 19:32:26.376504
Toronto Edge,Dilithium3,985.908,45.31638817,-75.758162619,3.384,211.741,2021-07-29 19:36:46.400467
Georges Home,Dilithium3,2.706,45.317121869,-75.757872153,4.009,132.674,2021-07-29 19:32:36.354594
Georges Home,Dilithium3,969.598,45.317408583,-75.756810328,8.362,146.682,2021-07-29 19:40:49.108779
Georges Home,Dilithium3,976.543,45.315281462,-75.757733573,6.517,336.7,2021-07-29 19:40:16.186853
Georges Home,Dilithium3,1.589,45.316024949,-75.757375216,3.281,260.227,2021-07-29 19:34:22.363818
Ottawa Edge,Dilithium3,955.475,45.317987169,-75.757148462,7.705,89.09,2021-07-29 19:44:47.137844
Toronto Edge,Dilithium3,990.325,45.315974844,-75.758318736,3.56,257.831,2021-07-29 19:37:02.015888
Georges Home,Dilithium3,967.769,45.317408583,-75.756810328,8.362,146.682,2021-07-29 19:40:48.367990
Georges Home,Dilithium3,992.885,45.317023472,-75.75791589,3.196,142.847,2021-07-29 19:36:25.138267
Toronto Edge,Dilithium3,985.639,45.318007598,-75.757157685,3.441,87.574,2021-07-29 19:39:16.062526
Ottawa Edge,Dilithium3,988.265,45.31537681,-75.758447745,2.904,324.711,2021-07-29 19:37:22.859294
Toronto Edge,Dilithium3,978.33,45.316538252,-75.758118695,8.622,195.143,2021-07-29 19:39:51.496406
