Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m),Time
Ottawa Edge,Dilithium3,966.586,45.315647634,-75.757509564,7.907,298.947,2021-07-29 19:42:03.108133
Ottawa Edge,Dilithium3,979.066,45.316597989,-75.757153581,3.293,205.452,2021-07-29 19:38:23.166373
Ottawa Edge,Rainbow-I-Classic,966.911,45.316051585,-75.758312272,14.127,249.289,2021-07-29 19:44:06.126842
Georges Home,Dilithium3,993.339,45.315660162,-75.757506427,3.366,297.623,2021-07-29 19:34:10.205199
Toronto Edge,Dilithium3,998.907,45.315370541,-75.75761881,3.056,327.986,2021-07-29 19:34:01.052533
Ottawa Edge,Rainbow-I-Classic,5.532,45.316240976,-75.757294017,3.468,238.856,2021-07-29 19:34:31.154851
Ottawa Edge,Dilithium2,997.148,45.315480145,-75.757565851,3.56,316.551,2021-07-29 19:34:04.442994
Toronto Edge,Dilithium2,5.879,45.315803921,-75.758393467,3.19,277.076,2021-07-29 19:33:21.071622
Georges Home,Dilithium5,988.537,45.316646526,-75.757128669,3.105,201.323,2021-07-29 19:38:25.119765
Ottawa Edge,Dilithium3,985.486,45.315679148,-75.75843739,3.196,291.124,2021-07-29 19:37:11.894776
Georges Home,Dilithium3,979.446,45.317483876,-75.756794639,3.667,142.16,2021-07-29 19:38:50.693939
Georges Home,Dilithium2,998.27,45.316087216,-75.758281087,3.633,245.255,2021-07-29 19:33:11.421328
Ottawa Edge,Rainbow-I-Classic,980.965,45.317216143,-75.757856465,8.713,122.673,2021-07-29 19:39:42.622189
Toronto Edge,Dilithium5,997.569,45.315994893,-75.758318547,3.033,255.603,2021-07-29 19:33:14.167135
Ottawa Edge,Dilithium5,2.717,45.315500325,-75.75849976,3.715,311.293,2021-07-29 19:33:30.758479
Georges Home,Rainbow-I-Classic,8.198,45.315864987,-75.75836542,3.014,270.185,2021-07-29 19:33:18.447104
Toronto Edge,Dilithium2,992.854,45.315282157,-75.758052196,3.679,334.839,2021-07-29 19:37:32.124683
