Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m),,
Georges Home,Dilithium2,29.293,45.31642,-75.758175,3.318,208.193,,
Georges Home,Dilithium2,29.476,45.31696,-75.756966667,3.636,176.877,,
Georges Home,Dilithium2,30.552,45.317143333,-75.757895,11.268,129.994,,
Georges Home,Dilithium2,20.502,45.316036667,-75.758326667,3.318,250.989,,
Georges Home,Dilithium2,25.488,45.315313333,-75.758316667,6.971,331.307,,
Georges Home,Dilithium2,34.176,45.316363333,-75.757215,14.934,227.928,,
Georges Home,Dilithium2,39.924,45.315366667,-75.757628333,6.569,328.31,,
Georges Home,Dilithium2,116.012,45.315313333,-75.758303333,2.588,331.279,,
Georges Home,Dilithium2,33.559,45.317468333,-75.75776,3.226,97.914,,
Georges Home,Dilithium2,104.216,45.318028333,-75.757533333,1.42,59.898,,
Georges Home,Dilithium2,112.14,45.315321667,-75.758333333,2.372,330.42,,
Georges Home,Dilithium2,72.673,45.316178333,-75.757293333,7.699,245.528,,
Georges Home,Dilithium2,28.746,45.316165,-75.757273333,3.298,247.402,,
Georges Home,Dilithium2,115.974,45.317968333,-75.75753,1.672,63.657,,
Georges Home,Dilithium2,61.557,45.317896667,-75.757593333,2.532,64.767,,
Georges Home,Dilithium2,27.763,45.317986667,-75.756998333,3.046,100.09,,
Georges Home,Dilithium2,101.198,45.317625,-75.756691667,2.984,139.559,,
Georges Home,Dilithium2,27.053,45.31521,-75.757795,2.85,344.12,,
Georges Home,Dilithium2,32.777,45.317703333,-75.75766,7.735,77.984,,
Georges Home,Dilithium2,21.804,45.315373333,-75.758473333,12.084,325.223,,
Georges Home,Dilithium2,108.915,45.316408333,-75.757163333,3.046,224.66,,
Georges Home,Dilithium2,41.418,45.317126667,-75.756911667,14.154,164.29,,
Georges Home,Dilithium2,30.122,45.31583,-75.757428333,9.111,280.34,,
Georges Home,Dilithium2,105.606,45.315703333,-75.758463333,3.636,288.581,,
Georges Home,Dilithium2,135.678,45.315363333,-75.75847,6.728,326.315,,
Georges Home,Dilithium2,102.699,45.317001667,-75.756928333,3.195,174.712,,
Georges Home,Dilithium2,28.044,45.31539,-75.757598333,3.189,326.072,,
Georges Home,Dilithium2,117.047,45.31777,-75.75763,3.38,73.274,,
Georges Home,Dilithium2,113.986,45.31718,-75.756868333,2.727,161.823,,
Georges Home,Dilithium2,26.651,45.316086667,-75.758316667,8.437,245.405,,
Georges Home,Dilithium2,25.723,45.315406667,-75.758526667,2.917,321.834,,
Georges Home,Dilithium2,28.421,45.316225,-75.758251667,13.257,229.894,,
Georges Home,Dilithium2,22.716,45.317915,-75.756721667,7.022,123.199,,
Georges Home,Dilithium2,29.187,45.315885,-75.757383333,3.653,275.172,,
Georges Home,Dilithium2,114.886,45.316001667,-75.758336667,2.392,254.908,,
Georges Home,Dilithium2,103.472,45.315435,-75.757581667,2.925,321.318,,
Georges Home,Dilithium2,37.15,45.316036667,-75.758326667,3.318,250.989,,
Georges Home,Dilithium2,27.35,45.316561667,-75.758125,14.508,192.527,,
Georges Home,Dilithium2,121.65,45.315825,-75.757413333,3.536,281.138,,
Georges Home,Dilithium2,31.869,45.31701,-75.75795,3.066,143.94,,
Georges Home,Dilithium2,103.929,45.316001667,-75.758336667,2.392,254.908,,
Georges Home,Dilithium2,107.5,45.315735,-75.75845,3.076,284.997,,
Georges Home,Dilithium2,65.447,45.316663333,-75.757068333,3.123,201.66,,
Georges Home,Dilithium2,25.399,45.31523,-75.757728333,2.801,342.43,,
Georges Home,Dilithium2,111.184,45.31658,-75.758116667,2.649,190.511,,
Georges Home,Dilithium2,103.072,45.316626667,-75.758098333,3.066,185.383,,
Georges Home,Dilithium2,126.388,45.315865,-75.7584,3.494,270.328,,
Georges Home,Dilithium2,35.016,45.317598333,-75.75671,7.814,139.957,,
Georges Home,Dilithium2,103.343,45.315245,-75.757953333,2.793,339.318,,
Georges Home,Dilithium2,101.305,45.315573333,-75.758515,2.827,303.298,,
Georges Home,Dilithium2,26.037,45.315225,-75.757873333,6.801,341.947,,
Georges Home,Dilithium2,110.429,45.317991667,-75.757495,0.68,64.551,,
Georges Home,Dilithium2,25.409,45.315816667,-75.758426667,13.687,275.818,,
Georges Home,Dilithium2,22.6,45.3167,-75.757076667,7.665,197.716,,
Georges Home,Dilithium2,95.997,45.315273333,-75.758126667,9.142,335.671,,
Georges Home,Dilithium2,115.259,45.317953333,-75.757545,2.042,63.666,,
Georges Home,Dilithium2,36.943,45.31623,-75.757285,15.773,240.231,,
Georges Home,Dilithium2,33.012,45.317495,-75.756753333,3.087,143.917,,
Georges Home,Dilithium2,39.565,45.317951667,-75.756848333,2.876,112.474,,
Georges Home,Dilithium2,30.14,45.317966667,-75.757555,0,62.16,,
Georges Home,Dilithium2,25.47,45.317966667,-75.757555,0,62.16,,
Georges Home,Dilithium2,36.843,45.315615,-75.75751,11.726,302.509,,
Georges Home,Dilithium2,26.11,45.315701667,-75.758473333,13.123,288.823,,
Georges Home,Dilithium2,31.14,45.317768333,-75.757645,3.245,72.713,,
Georges Home,Dilithium2,27.111,45.316195,-75.757263333,3.425,244.451,,
Georges Home,Dilithium2,333.789,45.318025,-75.757516667,1.446,61.219,,
Georges Home,Dilithium2,33.816,45.315316667,-75.758365,3.169,331.064,,
Georges Home,Dilithium2,29.76,45.316795,-75.758026667,7.913,167.053,,
Georges Home,Dilithium2,27.754,45.31551,-75.758535,3.279,310.443,,
Georges Home,Dilithium2,120.822,45.317376667,-75.756793333,3.102,150.058,,
Georges Home,Dilithium2,41.583,45.317073333,-75.757913333,14.224,137.408,,
Georges Home,Dilithium2,109.154,45.317141667,-75.757888333,3.279,130.272,,
Georges Home,Dilithium2,119.815,45.315601667,-75.757498333,2.709,304.131,,
Georges Home,Dilithium2,20.558,45.318015,-75.757523333,3.112,61.316,,
Georges Home,Dilithium2,156.796,45.31526,-75.758238333,10.85,337.119,,
Georges Home,Dilithium2,36.619,45.317858333,-75.756658333,2.624,130.085,,
Georges Home,Dilithium2,46.388,45.315203333,-75.75787,2.912,344.368,,
Georges Home,Dilithium2,37.487,45.317333333,-75.757823333,9.875,110.663,,
