Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Georges Home,Dilithium3,33.212,45.316931667,-75.757971667,7.814,152.362
Georges Home,Dilithium2,35.372,45.317115,-75.757915,8.52,132.819
Georges Home,Dilithium2,30.001,45.31567,-75.757476667,3.395,296.983
Georges Home,Dilithium2,29.649,45.317653333,-75.757686667,2.973,81.662
Georges Home,Rainbow-V-Classic,219.215,45.315601667,-75.757498333,2.922,304.131
Georges Home,Dilithium5,36.818,45.317521667,-75.756743333,3.066,142.736
Georges Home,Dilithium5,105.012,45.315626667,-75.757488333,2.887,301.542
Georges Home,Rainbow-III-Classic,81.59,45.317548333,-75.756733333,3.066,141.61
Georges Home,Dilithium5,39.95,45.317225,-75.756855,3.982,158.724
Georges Home,Rainbow-I-Classic,113.856,45.315626667,-75.757488333,2.793,301.542
Georges Home,Dilithium5,74.875,45.315225,-75.757821667,6.559,342.273
Georges Home,Dilithium3,33.98,45.316155,-75.758281667,3.344,237.726
Georges Home,Dilithium3,178.422,45.318051667,-75.757353333,2.871,71.508
Georges Home,Dilithium5,111.849,45.316156667,-75.758281667,2.674,237.54
Georges Home,Dilithium5,36.735,45.317183333,-75.756883333,7.994,160.783
Georges Home,Rainbow-V-Classic,337.58,45.317986667,-75.757003333,3.159,99.722
Georges Home,Dilithium3,32.045,45.317095,-75.757918333,3.143,134.968
Georges Home,Dilithium3,24.337,45.315266667,-75.757713333,6.667,338.509
Georges Home,Rainbow-III-Classic,159.106,45.317323333,-75.756816667,3.279,152.841
Georges Home,Dilithium5,206.11,45.315848333,-75.757391667,3.112,278.989
Georges Home,Dilithium5,40.413,45.31803,-75.757283333,3.774,77.5
Georges Home,Dilithium5,32.543,45.317625,-75.757691667,7.205,84.233
Georges Home,Dilithium3,107.26,45.315408333,-75.75851,2.685,321.548
Georges Home,Dilithium2,104.06,45.317988333,-75.757503333,0.0,64.189
Georges Home,Rainbow-I-Classic,35.018,45.316563333,-75.757133333,7.866,209.617
Georges Home,Dilithium2,110.311,45.315555,-75.75752,2.793,308.936
Georges Home,Dilithium2,35.941,45.315763333,-75.757441667,3.636,287.362
Georges Home,Dilithium5,28.153,45.318051667,-75.757271667,8.623,77.481
Georges Home,Dilithium5,106.74,45.318011667,-75.757495,0.614,63.426
Georges Home,Dilithium2,32.592,45.317258333,-75.75684,3.887,156.77
Georges Home,Dilithium2,30.551,45.316448333,-75.758166667,7.866,205.051
Georges Home,Rainbow-V-Classic,220.515,45.316653333,-75.757061667,2.691,202.888
Georges Home,Dilithium3,37.981,45.315908333,-75.757396667,8.92,272.408
Georges Home,Dilithium5,29.87,45.316318333,-75.757215,3.596,232.641
Georges Home,Dilithium2,33.075,45.316615,-75.75711,14.508,205.118
Georges Home,Dilithium2,36.647,45.317686667,-75.757663333,7.079,79.409
Georges Home,Dilithium2,20.797,45.31651,-75.758141667,3.292,198.233
Georges Home,Dilithium3,44.877,45.315268333,-75.75814,7.457,336.21
Georges Home,Dilithium3,44.807,45.315935,-75.758378333,14.221,262.465
Georges Home,Dilithium3,111.551,45.31725,-75.757846667,3.251,119.179
Georges Home,Dilithium5,23.186,45.315245,-75.758098333,10.397,338.863
Georges Home,Dilithium2,103.766,45.31626,-75.757216667,3.421,238.724
Georges Home,Dilithium5,29.354,45.316275,-75.758236667,3.457,224.32
Georges Home,Dilithium5,122.937,45.31799,-75.7575,0.34,64.314
Georges Home,Rainbow-III-Classic,91.462,45.315205,-75.757831667,2.979,344.421
Georges Home,Dilithium5,111.459,45.315285,-75.758198333,3.025,334.326
Georges Home,Rainbow-III-Classic,88.76,45.316801667,-75.75702,3.519,189.788
Georges Home,Dilithium5,117.563,45.31649,-75.758153333,2.495,200.437
Georges Home,Rainbow-I-Classic,38.536,45.317973333,-75.757551667,1.209,61.944
Georges Home,Dilithium5,133.22,45.316943333,-75.756951667,3.279,179.071
Georges Home,Dilithium2,36.926,45.318001667,-75.75708,3.272,93.504
Georges Home,Dilithium3,159.464,45.315278333,-75.75816,3.195,335.081
Georges Home,Dilithium5,27.145,45.317126667,-75.756896667,3.781,165.015
Georges Home,Dilithium3,114.371,45.315891667,-75.758385,2.854,267.303
Georges Home,Dilithium5,28.556,45.317966667,-75.757555,0.0,62.16
Georges Home,Rainbow-I-Classic,40.001,45.315401667,-75.757608333,9.157,324.676
Georges Home,Rainbow-I-Classic,44.524,45.317968333,-75.757555,0.185,62.052
