Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Ottawa Edge,Dilithium5,993.938,45.315826209,-75.758371883,3.468,274.514
Ottawa Edge,Dilithium5,984.687,45.316060965,-75.758284413,3.105,248.179
Georges Home,Dilithium5,10.75,45.316481687,-75.758128107,3.901,201.405
Ottawa Edge,Dilithium5,2.314,45.315691418,-75.757497014,3.468,294.345
Ottawa Edge,Dilithium5,998.579,45.316481687,-75.758128107,3.901,201.405
Toronto Edge,Dilithium5,981.7,45.31796806,-75.756944404,3.335,104.771
Toronto Edge,Dilithium5,4.635,45.316123599,-75.757337755,2.942,250.396
Toronto Edge,Dilithium5,994.4,45.316837371,-75.757050606,3.56,185.153
Ottawa Edge,Dilithium5,987.422,45.316115704,-75.758256365,3.105,242.046
Georges Home,Dilithium5,980.461,45.316264584,-75.757278519,3.925,236.719
Toronto Edge,Dilithium5,10.436,45.317949967,-75.757569129,0.0,62.381
Georges Home,Dilithium5,2.331,45.317970553,-75.757532045,2.812,63.385
Toronto Edge,Dilithium5,985.479,45.316327224,-75.757262831,3.659,230.487
Ottawa Edge,Dilithium5,976.717,45.316623044,-75.757147306,3.105,203.1
Georges Home,Dilithium5,996.901,45.317317961,-75.756863291,3.56,150.7
Ottawa Edge,Dilithium5,989.147,45.317319293,-75.757800367,3.372,112.654
Georges Home,Dilithium5,9.428,45.317949967,-75.757569129,0.0,62.381
Georges Home,Dilithium5,1.44,45.315915099,-75.75835287,3.033,264.575
Ottawa Edge,Dilithium5,979.749,45.316228575,-75.757300293,3.834,240.027
Toronto Edge,Dilithium5,984.701,45.317785897,-75.756675972,3.537,132.034
Georges Home,Dilithium5,987.008,45.317955436,-75.756894958,3.457,108.894
Georges Home,Dilithium5,999.409,45.31621592,-75.757300293,3.484,241.372
Toronto Edge,Dilithium5,999.015,45.315813676,-75.757444054,3.82,281.851
Toronto Edge,Dilithium5,992.043,45.316165815,-75.758243815,2.929,236.461
Georges Home,Dilithium5,6.167,45.317863846,-75.757603454,3.097,66.745
Georges Home,Dilithium5,981.611,45.31533589,-75.758327273,3.368,328.825
Toronto Edge,Dilithium5,987.39,45.31529478,-75.75810164,3.687,333.326
Georges Home,Dilithium5,8.805,45.31793744,-75.757572266,1.158,63.051
Toronto Edge,Dilithium5,984.09,45.317933338,-75.75682079,3.254,115.2
Georges Home,Dilithium5,984.897,45.318000362,-75.757513408,2.755,62.816
Georges Home,Dilithium5,995.252,45.317999633,-75.757043295,2.806,96.285
Toronto Edge,Dilithium5,995.081,45.318034577,-75.757423551,3.164,67.227
Georges Home,Dilithium5,998.43,45.316161182,-75.757328342,3.117,246.58
Georges Home,Dilithium5,992.373,45.316010854,-75.758296963,3.19,253.774
Toronto Edge,Dilithium5,988.979,45.31638817,-75.758162619,3.384,211.741
Ottawa Edge,Dilithium5,990.849,45.317410283,-75.756825827,3.384,145.655
Ottawa Edge,Dilithium5,0.744,45.315229966,-75.757838924,2.949,341.609
Georges Home,Dilithium5,988.79,45.315253575,-75.757823426,3.522,339.098
Ottawa Edge,Dilithium5,991.096,45.315920105,-75.758346784,3.384,263.998
Georges Home,Dilithium5,985.968,45.317538614,-75.756766589,3.75,140.147
Ottawa Edge,Dilithium5,986.546,45.316505667,-75.757191044,3.457,213.797
Ottawa Edge,Dilithium5,977.551,45.317970553,-75.757532045,0.514,63.385
Georges Home,Dilithium5,2.616,45.317949967,-75.757569129,0.0,62.381
Georges Home,Dilithium5,8.85,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Dilithium5,8.387,45.316837371,-75.757050606,3.56,185.153
Toronto Edge,Dilithium5,998.687,45.317474255,-75.757747217,3.644,97.657
Georges Home,Dilithium5,982.828,45.31801232,-75.75719477,3.459,84.676
Toronto Edge,Dilithium5,983.229,45.317996454,-75.757068018,3.564,94.586
Ottawa Edge,Dilithium5,4.822,45.317949967,-75.757569129,0.0,62.381
Georges Home,Dilithium5,983.036,45.31543636,-75.757578401,3.4,321.208
Toronto Edge,Dilithium5,988.973,45.31753532,-75.757719168,3.644,92.239
Georges Home,Dilithium5,996.935,45.315348512,-75.758376716,3.448,327.566
Georges Home,Dilithium5,987.355,45.316129926,-75.757337755,3.728,249.719
Ottawa Edge,Dilithium5,995.999,45.315808923,-75.757456415,3.461,282.166
Ottawa Edge,Dilithium5,999.827,45.316987209,-75.757931389,3.827,146.651
Georges Home,Dilithium5,978.342,45.317810953,-75.756669696,3.184,131.318
Toronto Edge,Dilithium5,7.189,45.315907572,-75.757418953,3.644,272.092
Ottawa Edge,Dilithium5,6.991,45.317949967,-75.757569129,0.0,62.381
Georges Home,Dilithium5,1.331,45.315395597,-75.757612535,3.248,325.297
Ottawa Edge,Dilithium5,2.515,45.318032813,-75.757306022,3.032,75.735
Toronto Edge,Dilithium5,997.61,45.315652387,-75.757497203,3.659,298.605
Toronto Edge,Dilithium5,981.845,45.317630936,-75.756729125,3.56,136.725
Georges Home,Dilithium5,997.545,45.317645038,-75.756738348,3.384,135.275
Toronto Edge,Dilithium5,4.927,45.317949967,-75.757569129,0.0,62.381
