Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Toronto Edge,Dilithium3,998.483,45.316998416,-75.757922165,3.188,145.524
Ottawa Edge,Dilithium3,989.268,45.317499311,-75.757740942,3.644,95.251
Ottawa Edge,Dilithium3,992.417,45.316954748,-75.757006868,3.56,175.67
Ottawa Edge,Dilithium3,983.928,45.316536923,-75.757181631,3.468,210.851
Toronto Edge,Dilithium3,971.267,45.318018901,-75.757401966,6.472,69.507
Ottawa Edge,Dilithium3,2.519,45.317659025,-75.75767543,3.287,81.551
Georges Home,Dilithium3,990.963,45.31529478,-75.75810164,3.687,333.326
Georges Home,Dilithium3,993.677,45.31675125,-75.757084931,3.309,192.337
Ottawa Edge,Dilithium3,980.722,45.317427438,-75.75680719,8.376,145.47
Toronto Edge,Dilithium3,3.424,45.316962154,-75.757937664,3.372,149.339
Toronto Edge,Dilithium3,12.403,45.315944782,-75.758331097,3.033,261.206
Georges Home,Dilithium3,7.246,45.316228076,-75.758218716,3.196,229.52
Georges Home,Dilithium3,992.592,45.316190871,-75.75823754,2.942,233.67
Georges Home,Dilithium3,985.798,45.317133317,-75.756938217,3.735,162.433
Toronto Edge,Dilithium3,989.141,45.317446292,-75.756804052,3.575,144.279
Ottawa Edge,Dilithium3,983.635,45.315937381,-75.757400317,3.81,269.201
Ottawa Edge,Dilithium3,963.57,45.315671215,-75.758474473,11.879,292.205
Toronto Edge,Dilithium3,10.318,45.317776151,-75.757625417,3.633,72.954
Ottawa Edge,Dilithium3,984.805,45.316671582,-75.757122394,3.377,199.003
Georges Home,Dilithium3,959.772,45.317643338,-75.756722849,11.149,136.405
Ottawa Edge,Dilithium3,993.125,45.31783453,-75.756703642,2.886,127.825
Ottawa Edge,Dilithium3,4.893,45.317949967,-75.757569129,0.0,62.381
Georges Home,Dilithium3,961.17,45.317643338,-75.756722849,11.149,136.405
Georges Home,Dilithium3,978.137,45.317446292,-75.756804052,3.575,144.279
Ottawa Edge,Dilithium3,4.536,45.31793744,-75.757572266,1.158,63.051
Ottawa Edge,Dilithium3,966.052,45.317630936,-75.756729125,7.675,136.725
Ottawa Edge,Dilithium3,959.685,45.31777019,-75.756703832,9.185,130.828
Ottawa Edge,Dilithium3,970.494,45.317139518,-75.756935079,8.095,162.036
Toronto Edge,Dilithium3,983.863,45.315813676,-75.757444054,3.82,281.851
Georges Home,Dilithium3,0.068,45.315808923,-75.757456415,3.461,282.166
Ottawa Edge,Dilithium3,1.665,45.316832248,-75.757984538,3.633,163.234
Ottawa Edge,Dilithium3,991.241,45.315614903,-75.75849016,12.028,298.538
Toronto Edge,Dilithium3,9.657,45.316987209,-75.757931389,3.827,146.651
Georges Home,Dilithium3,989.945,45.31760588,-75.7567354,3.56,137.834
Toronto Edge,Dilithium3,12.803,45.316518068,-75.757184768,3.209,212.7
Georges Home,Dilithium3,999.317,45.316597862,-75.757150444,3.209,205.563
Georges Home,Dilithium3,964.328,45.317982986,-75.757476323,7.964,66.304
Ottawa Edge,Dilithium3,984.586,45.315636811,-75.758459163,7.006,295.933
Ottawa Edge,Dilithium3,966.894,45.315884095,-75.758368557,7.028,268.076
Toronto Edge,Dilithium3,990.442,45.315937381,-75.757400317,3.81,269.201
Georges Home,Dilithium3,997.882,45.316751132,-75.758012775,3.105,172.002
Georges Home,Dilithium3,34.947,45.316716443,-75.758040635,3.293,175.676
Ottawa Edge,Dilithium3,8.847,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Dilithium3,989.144,45.31801232,-75.75719477,3.459,84.676
Georges Home,Dilithium3,969.854,45.317154847,-75.756897806,13.704,162.51
Ottawa Edge,Dilithium3,995.474,45.316024949,-75.757375216,3.281,260.227
Georges Home,Dilithium3,31.085,45.317456848,-75.757759579,3.457,99.122
Ottawa Edge,Dilithium3,976.832,45.318029665,-75.7572813,3.441,77.661
Ottawa Edge,Dilithium3,966.563,45.317104966,-75.757897065,7.822,134.159
Ottawa Edge,Dilithium3,996.907,45.315268934,-75.757736711,2.974,338.058
Georges Home,Dilithium3,959.082,45.316682157,-75.757097482,13.6,198.78
Georges Home,Dilithium3,967.764,45.317618282,-75.756729125,7.835,137.487
Georges Home,Dilithium3,0.234,45.31523793,-75.757953309,3.166,340.102
Toronto Edge,Dilithium3,7.362,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Dilithium3,4.86,45.31748653,-75.757737804,3.911,96.66
Georges Home,Dilithium3,982.165,45.316388289,-75.757234781,3.735,224.794
Toronto Edge,Dilithium3,3.557,45.316808766,-75.758003174,3.451,165.688
Toronto Edge,Dilithium3,985.868,45.317238167,-75.756897616,3.81,155.419
Georges Home,Dilithium3,960.283,45.317593226,-75.7567354,12.078,138.619
Ottawa Edge,Dilithium3,962.867,45.315320525,-75.757683941,7.92,332.834
Georges Home,Dilithium3,993.875,45.315735461,-75.758421704,3.575,284.801
Georges Home,Dilithium3,1.423,45.31709206,-75.75789079,3.911,135.658
Toronto Edge,Dilithium3,46.453,45.317023472,-75.75791589,3.196,142.847
Georges Home,Dilithium3,975.606,45.31582303,-75.758396605,8.089,274.97
Georges Home,Dilithium3,6.927,45.31569287,-75.758437202,3.725,289.601
Toronto Edge,Dilithium3,966.848,45.31529399,-75.757730436,7.791,335.343
Toronto Edge,Dilithium3,990.974,45.315974844,-75.758318736,3.56,257.831
Toronto Edge,Dilithium3,42.525,45.317613781,-75.756747762,3.56,136.541
Toronto Edge,Dilithium3,4.382,45.316548954,-75.758096921,3.457,194.017
Toronto Edge,Dilithium3,963.115,45.316682157,-75.757097482,13.6,198.78
Toronto Edge,Dilithium3,5.507,45.317190709,-75.757853328,4.002,125.485
Toronto Edge,Dilithium3,4.444,45.316739925,-75.758021999,3.384,173.184
Toronto Edge,Dilithium3,980.427,45.317526066,-75.757750166,9.054,92.225
Toronto Edge,Dilithium3,3.132,45.315747857,-75.757484464,3.728,288.375
Georges Home,Dilithium3,983.773,45.317422811,-75.756822689,3.4,144.903
Ottawa Edge,Dilithium3,980.946,45.316129926,-75.757337755,3.728,249.719
Ottawa Edge,Dilithium3,998.102,45.31557404,-75.75754075,3.719,306.574
Toronto Edge,Dilithium3,979.031,45.317970553,-75.757532045,0.514,63.385
Georges Home,Dilithium3,994.597,45.316658928,-75.757122394,3.468,200.277
Ottawa Edge,Dilithium3,999.233,45.315655287,-75.758446614,3.725,293.818
Toronto Edge,Dilithium3,8.96,45.31569287,-75.758437202,3.725,289.601
Ottawa Edge,Dilithium3,960.95,45.31697506,-75.757943939,16.887,147.851
Toronto Edge,Dilithium3,980.869,45.317933338,-75.75682079,3.254,115.2
Georges Home,Dilithium3,969.407,45.315272176,-75.757814013,7.93,337.103
Ottawa Edge,Dilithium3,994.571,45.317645038,-75.756738348,3.384,135.275
Ottawa Edge,Dilithium3,959.101,45.315544231,-75.757559386,11.114,309.6
