Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Ottawa Edge,Dilithium2,2.193,45.317949967,-75.757569129,0.707,62.381
Georges Home,Dilithium3,0.901,45.317145719,-75.756931942,3.728,161.643
Ottawa Edge,Dilithium5,2.606,45.315944782,-75.758331097,3.033,261.206
Toronto Edge,Dilithium5,0.3,45.317474255,-75.757747217,3.644,97.657
Ottawa Edge,Dilithium3,403.836,45.315229966,-75.757838924,2.949,341.609
Georges Home,Dilithium5,997.128,45.315450335,-75.757584486,3.392,319.6
Ottawa Edge,Rainbow-I-Classic,6.745,45.315274319,-75.75814186,3.067,335.543
Toronto Edge,Dilithium3,960.806,45.317913005,-75.75686415,8.16,112.845
Georges Home,Dilithium5,6.827,45.316123599,-75.757337755,2.942,250.396
Toronto Edge,Dilithium3,961.987,45.31786265,-75.757600505,9.398,67.001
Ottawa Edge,Dilithium2,993.455,45.316300475,-75.758184581,3.281,221.471
Georges Home,Dilithium2,2.531,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Rainbow-I-Classic,4.939,45.317317961,-75.756863291,3.56,150.7
Ottawa Edge,Dilithium2,8.562,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Dilithium3,990.182,45.318013799,-75.757154548,2.92,87.557
Ottawa Edge,Rainbow-I-Classic,964.543,45.316275286,-75.757256745,15.462,236.115
Toronto Edge,Rainbow-I-Classic,969.248,45.315824603,-75.758408966,13.249,274.851
Toronto Edge,Dilithium3,975.499,45.316424046,-75.757206732,7.934,221.817
Toronto Edge,Dilithium2,992.632,45.318025197,-75.757451411,2.741,65.725
Ottawa Edge,Dilithium3,966.826,45.315282157,-75.758052196,6.794,334.839
Georges Home,Dilithium3,967.295,45.317979173,-75.757083517,7.927,94.143
Toronto Edge,Rainbow-I-Classic,972.433,45.31549412,-75.757571936,9.852,314.942
Georges Home,Dilithium3,3.553,45.31557404,-75.75754075,3.719,306.574
Ottawa Edge,Dilithium2,967.744,45.315827783,-75.758384244,7.217,274.389
Toronto Edge,Dilithium3,6.914,45.315747857,-75.757484464,3.728,288.375
Toronto Edge,Dilithium3,968.063,45.317347644,-75.756841516,8.362,149.555
Ottawa Edge,Dilithium5,996.869,45.317023472,-75.75791589,3.196,142.847
Ottawa Edge,Dilithium3,969.805,45.317679347,-75.756701074,7.784,135.803
Ottawa Edge,Dilithium5,996.38,45.315635106,-75.757512702,3.366,300.272
Ottawa Edge,Dilithium2,986.016,45.31533589,-75.758327273,3.368,328.825
Toronto Edge,Dilithium2,8.717,45.316808766,-75.758003174,3.451,165.688
Toronto Edge,Rainbow-I-Classic,976.363,45.315351813,-75.757625085,6.296,329.98
Toronto Edge,Dilithium3,1.343,45.315808923,-75.757456415,3.461,282.166
Toronto Edge,Dilithium2,3.628,45.317924912,-75.757575404,1.814,63.744
Ottawa Edge,Dilithium2,967.449,45.315580499,-75.75847485,6.81,302.262
Ottawa Edge,Dilithium2,971.45,45.318009141,-75.757219492,6.501,83.011
Toronto Edge,Dilithium2,973.012,45.317104966,-75.757897065,7.822,134.159
Georges Home,Dilithium2,993.659,45.316954748,-75.757006868,3.56,175.67
Toronto Edge,Rainbow-III-Classic,31.197,45.317949967,-75.757569129,0.0,62.381
Georges Home,Rainbow-I-Classic,981.801,45.317938156,-75.756910457,6.701,108.438
Ottawa Edge,Dilithium3,967.177,45.316308249,-75.758193805,7.276,220.605
Georges Home,Dilithium3,967.11,45.317172232,-75.757865878,7.822,127.286
Georges Home,Dilithium5,980.084,45.317538614,-75.756766589,3.75,140.147
Georges Home,Dilithium2,999.353,45.316240976,-75.757294017,3.468,238.856
Toronto Edge,Dilithium5,5.645,45.317949967,-75.757569129,0.0,62.381
Georges Home,Dilithium5,983.256,45.318034513,-75.757321522,3.432,74.541
Ottawa Edge,Dilithium3,3.051,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Rainbow-I-Classic,971.14,45.31777019,-75.756703832,9.185,130.828
Ottawa Edge,Rainbow-I-Classic,965.495,45.315320525,-75.757683941,7.92,332.834
